miejsce_zam_id;miejsce_zam
1;Aleksandrow Kujawski
;Aleksandrow Kujawski
;Aleksandrow Kujawski
2;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
;Alwernia
3;Baborow
;Baborow
;Baborow
4;Barlinek
5;Barwinek
;Barwinek
6;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
;Bedzin
7;Bezledy
;Bezledy
;Bezledy
;Bezledy
8;Biala Podlaska
;Biala Podlaska
;Biala Podlaska
9;Bialaszewo
;Bialaszewo
;Bialaszewo
10;Bialystok
;Bialystok
;Bialystok
;Bialystok
11;Bielsk Podlaski
;Bielsk Podlaski
;Bielsk Podlaski
12;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
;Bielsko - Biala
13;Bochnia
;Bochnia
;Bochnia
;Bochnia
;Bochnia
;Bochnia
;Bochnia
14;Bozewo
;Bozewo
;Bozewo
15;Bransk
;Bransk
;Bransk
;Bransk
16;Brzeg Dolny
;Brzeg Dolny
17;Brzesko
;Brzesko
;Brzesko
;Brzesko
;Brzesko
;Brzesko
18;Bydgoszcz
;Bydgoszcz
;Bydgoszcz
19;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
;Bytom
20;Chalupki
;Chalupki
;Chalupki
;Chalupki
;Chalupki
;Chalupki
21;Chelm
;Chelm
;Chelm
;Chelm
;Chelm
;Chelm
;Chelm
22;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
;Chorzow
23;Chyzne
;Chyzne
;Chyzne
;Chyzne
;Chyzne
24;Ciechanow
;Ciechanow
;Ciechanow
;Ciechanow
;Ciechanow
25;Ciechocinek
;Ciechocinek
;Ciechocinek
;Ciechocinek
26;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
;Cieszyn
27;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
;Czestochowa
28;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
;Dabrowa Gornicza
29;Daszyna
30;Debica
;Debica
;Debica
;Debica
31;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
;Deblin
32;Debowiec
;Debowiec
;Debowiec
;Debowiec
33;Debrzno
;Debrzno
;Debrzno
34;Dlugopole-Zdroj
;Dlugopole-Zdroj
;Dlugopole-Zdroj
;Dlugopole-Zdroj
35;Dobieszowice
;Dobieszowice
36;Dobre Miasto
;Dobre Miasto
;Dobre Miasto
;Dobre Miasto
;Dobre Miasto
37;Dzierzoniow
;Dzierzoniow
38;Elblag
;Elblag
;Elblag
39;Elk
;Elk
;Elk
;Elk
;Elk
40;Gdansk
;Gdansk
;Gdansk
;Gdansk
41;Gdynia
;Gdynia
42;Gieblo
;Gieblo
;Gieblo
43;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
;Gieraltowice
44;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
;Gliwice
45;Glubczyce
;Glubczyce
;Glubczyce
;Glubczyce
;Glubczyce
;Glubczyce
46;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
;Glucholazy
47;Gorki Male
;Gorki Male
;Gorki Male
;Gorki Male
;Gorki Male
48;Gorzow Wielkopolski
;Gorzow Wielkopolski
;Gorzow Wielkopolski
;Gorzow Wielkopolski
49;Gostyn
;Gostyn
;Gostyn
;Gostyn
50;Grudziadz
;Grudziadz
;Grudziadz
;Grudziadz
51;Gryfice
;Gryfice
;Gryfice
;Gryfice
;Gryfice
52;Gubin
;Gubin
;Gubin
53;Halinow
;Halinow
;Halinow
54;Hrebenne
;Hrebenne
;Hrebenne
55;Ilawa
;Ilawa
56;Inowroclaw
57;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
;Istebna
58;Izbica Kujawska
;Izbica Kujawska
59;Jakuszyce
60;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
;Jaslo
61;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
;Jastrzebie-Zdroj
62;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
;Jaworzno
63;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
;Jaworzynka
64;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
;Jedrzejow
65;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
;Jejkowice
66;Jelenia Gora
;Jelenia Gora
67;Jezewo
;Jezewo
;Jezewo
68;Jozefow
;Jozefow
69;Julianka
;Julianka
;Julianka
;Julianka
70;Kalisz
;Kalisz
71;Karniewo
;Karniewo
;Karniewo
72;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
;Katowice
73;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
;Kedzierzyn-Kozle
